Dvoyna bez peresecheniy bez probelov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;à;á;â;ã;ä;å;¸;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;ú;û;ü;ý;þ;ÿ;;
 ï;0,001427;0,000001;0,000005;0;0,000004;0,002525;0;0,000001;0,000003;0,000957;0;0,00008;0,000658;0,000002;0,000085;0,009917;0,000034;0,007338;0,000016;0,00007;0,000642;0,000001;0,000001;0,000014;0,00004;0,000016;0,000001;0;0,000317;0,000048;0,000001;0,000004;0,000406;#Í/Ä;
 ð;0,008095;0,000261;0,000448;0,000422;0,000425;0,006198;0;0,000352;0,000039;0,00544;0;0,000733;0,000076;0,000188;0,000905;0,008221;0,000154;0,000063;0,00031;0,00061;0,002782;0,000011;0,000138;0,000039;0,000098;0,000253;0,000037;0;0,001488;0,001002;0,000006;0,000143;0,001067;#Í/Ä;
 ñ;0,002124;0,000175;0,00239;0,000105;0,000553;0,005229;0;0,00023;0,000094;0,001777;0;0,00606;0,003051;0,001111;0,001606;0,002997;0,002282;0,000233;0,000934;0,012532;0,000766;0,000024;0,000179;0,000059;0,000535;0,000079;0,000004;0,000024;0,000402;0,003458;0,000063;0,000166;0,003732;#Í/Ä;
 ò;0,0061;0,000312;0,003522;0,000086;0,000376;0,006137;0;0,000104;0,000113;0,004858;0;0,000861;0,000408;0,000224;0,001816;0,017042;0,000483;0,003155;0,001543;0,000344;0,001518;0,000043;0,000055;0,000086;0,000519;0,000022;0,000021;0,000039;0,001838;0,007359;0,000146;0,000062;0,000725;#Í/Ä;
 ó;0,000215;0,000849;0,001914;0,001285;0,002181;0,000444;0;0,002099;0,000503;0,000767;0,000142;0,001435;0,001688;0,001649;0,00125;0,000518;0,001283;0,000758;0,001895;0,001688;0,000136;0,000046;0,000423;0,000014;0,001509;0,000836;0,000251;0;0;0;0,000095;0,001169;0,000262;16;
 ô;0,000097;0,000003;0,000007;0,000001;0;0,000147;0;0;0;0,000337;0;0,000001;0,00003;0,000003;0,000005;0,000125;0,000002;0,000155;0,000014;0,000027;0,00003;0,000005;0;0;0,000002;0;0;0;0,000006;0,000055;0;0,000001;0,000001;#Í/Ä;
 õ;0,000977;0,000124;0,000395;0,000085;0,00019;0,000104;0;0,000049;0,000065;0,00041;0;0,000193;0,000234;0,000191;0,000426;0,00288;0,000336;0,000173;0,000383;0,000125;0,00025;0,000014;0,000023;0,000012;0,000066;0,000027;0,000002;0,000001;0;0;0,00003;0,000003;0,000038;#Í/Ä;
 ö;0,000601;0,000009;0,000072;0,000007;0,00001;0,000807;0;0,000003;0,000005;0,000227;0;0,000123;0,000001;0,000008;0,000022;0,000342;0,000022;0,000004;0,000022;0,000007;0,000237;0;0,000009;0,000009;0,000005;0,000001;0;0;0,000185;0;0,000002;0;0,000005;#Í/Ä;
 ÷;0,002581;0,000025;0,000116;0,000014;0,000034;0,003965;0;0,000006;0,000034;0,001599;0;0,000391;0,000065;0,000019;0,000698;0,000124;0,000107;0,000082;0,000094;0,005157;0,001094;0;0,000008;0,000001;0,000016;0,000194;0;0;0;0,0002;0,000005;0;0,00002;#Í/Ä;
 ø;0,001073;0,000006;0,000107;0,000003;0,000001;0,002697;0;0,000001;0,000001;0,001878;0;0,000427;0,000633;0,000015;0,000427;0,000327;0,000018;0,00003;0,000005;0,000092;0,000339;0;0,000003;0,000005;0,000003;0,000004;0;0;0;0,000597;0,000001;0,000003;0,000003;#Í/Ä;
